Taxon name,Genus,Family,URL,Reference,Symmetry,Notes,Data source,Rank scored at,Data entered by,Entry date,
Olearia muelleri,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=35128,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia muelleri,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=35128,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia passerinoides,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29016&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia passerinoides,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29016&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia pimeleoides,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=hw&pn=33,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia pimeleoides,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=hw&pn=33,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia ramulosa,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29042&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia ramulosa,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29042&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia rosmarinifolia,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29047&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia rosmarinifolia,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29047&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia subspicata,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29055&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia subspicata,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29055&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia teretifolia,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29059&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Olearia teretifolia,Olearia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29059&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Ozothamnus cupressoides,Ozothamnus,Asteraceae,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2912535#gallery,Atlas of Living Australia (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Ozothamnus retusus,Ozothamnus,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=32354,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Ozothamnus scaber,Ozothamnus,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/39f4b1bf-ab8e-4905-8da9-5f8845b481b0,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"No ray florets mentioned, ""florets... filiform...or tubular""",interpreted from the text,genus,Ruby Stephens,17/12/2020,
Pappochroma bellidioides,Pappochroma,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/91338db0-7393-4385-b34f-7dd3ef21896f,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic,interpreted from the text,genus,Ruby Stephens,17/12/2020,
Pappochroma bellidioides,Pappochroma,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/91338db0-7393-4385-b34f-7dd3ef21896f,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic,interpreted from the text,genus,Ruby Stephens,17/12/2020,
Pappochroma nitidum,Pappochroma,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/91338db0-7393-4385-b34f-7dd3ef21896f,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic,interpreted from the text,genus,Ruby Stephens,17/12/2020,
Pappochroma nitidum,Pappochroma,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/91338db0-7393-4385-b34f-7dd3ef21896f,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic,interpreted from the text,genus,Ruby Stephens,17/12/2020,
Pentalepis ecliptoides,Pentalepis,Asteraceae,https://profiles.ala.org.au/opus/foa/profile/Pentalepis,Flora of Australia Online (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""Ray florets...ligule 2-lobed. Disc florets...corolla 5-lobed"" Both actinomorphic and zygomorphic",interpreted from the text,genus,Ruby Stephens,18/12/2020,
Pentalepis ecliptoides,Pentalepis,Asteraceae,https://profiles.ala.org.au/opus/foa/profile/Pentalepis,Flora of Australia Online (2020),207. Symmetry of perianth (D1): (2) zygomorphic,"""Ray florets...ligule 2-lobed. Disc florets...corolla 5-lobed"" Both actinomorphic and zygomorphic",interpreted from the text,genus,Ruby Stephens,18/12/2020,
Phacellothrix cladochaeta,Phacellothrix,Asteraceae,http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Phacellothrix_cladochaeta.htm,Australian Tropical Rainforest Plants Online (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,18/12/2020,
Pleurocarpaea denticulata,Pleurocarpaea,Asteraceae,http://eflora.nt.gov.au/factsheet?id=638,Flora of the Northern Territory Online (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,18/12/2020,
Pluchea dentex,Pluchea,Asteraceae,https://florabase.dpaw.wa.gov.au/browse/profile/8167,Flora of Western Australia Online (FloraBase) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Pluchea dunlopii,Pluchea,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Pluchea~dunlopii,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Lauren Goodwin,12/12/2020,
Pluchea rubelliflora,Pluchea,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/be27af12-a969-4e98-a5e0-7744c1701be6,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Lauren Goodwin,12/12/2020,
Podolepis aristata,Podolepis,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/407eea0a-f19a-4d57-9dc5-f3c8ecb51fc3,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Podolepis aristata,Podolepis,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/407eea0a-f19a-4d57-9dc5-f3c8ecb51fc3,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Podolepis capillaris,Podolepis,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/5760d9f9-07d3-4f50-b3cd-3d22c000e4bf,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (2) zygomorphic,"Ray florets with ligules and ""disc florets…corolla asymmetric""",interpreted from the text,species,Ruby Stephens,17/12/2020,
Podolepis kendallii,Podolepis,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=15464&size=3,Australian Plant Image Index (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,22/4/2021,
Podolepis lessonii,Podolepis,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=44960,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Podolepis muelleri,Podolepis,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Podolepis~muelleri,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Lauren Goodwin,12/12/2020,
Podolepis robusta,Podolepis,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=20486&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Podolepis robusta,Podolepis,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=20486&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Podolepis rugata,Podolepis,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/b4f64b1b-9c63-4ba4-960f-363fb12373a9,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Podolepis rugata,Podolepis,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/b4f64b1b-9c63-4ba4-960f-363fb12373a9,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Podotheca angustifolia,Podotheca,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=35079,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Podotheca gnaphalioides,Podotheca,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=24133,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Pogonolepis muelleriana,Pogonolepis,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=46979,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Pogonolepis stricta,Pogonolepis,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=46791,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Polycalymma stuartii,Polycalymma,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Polycalymma~stuartii,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"Appears to have ray florets but these are in fact bracts, all florets tubular",interpreted from the text,species,Ruby Stephens,17/12/2020,
Pterocaulon serrulatum,Pterocaulon,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=44505,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Pterocaulon sphacelatum,Pterocaulon,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=45528,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Pterochaeta paniculata,Pterochaeta,Asteraceae,https://www.biodiversitylibrary.org/page/53279373,"Wilson, Paul G. (7 September 1992), The Classification of Australian species currently included in Helipterum and related genera (Asteraceae: Gnaphalieae): Part 1. Nuytsia 8(3): 422",207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""Florets…actinomorphic""",explicit from the text (described as such),genus,Ruby Stephens,18/12/2020,
Pycnosorus pleiocephalus,Pycnosorus,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=39670,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Quinetia urvillei,Quinetia,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/d21bb9ed-d8f5-40e3-8b7e-8ecd21cea1b1,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""corolla tube…""",interpreted from the text,species,Ruby Stephens,18/12/2020,
Reichardia tingitana,Reichardia,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=gn&name=Reichardia,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (2) zygomorphic,"""Florets all ligulate""",interpreted from the text,genus,Ruby Stephens,17/12/2020,
Rhodanthe anthemoides,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=15619&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe citrina,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=45304&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe corymbiflora,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=31911&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe diffusa,Rhodanthe,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Rhodanthe~diffusa,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Lauren Goodwin,7/12/2020,
Rhodanthe floribunda,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=35164&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe haigii,Rhodanthe,Asteraceae,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2890996,Atlas of Living Australia (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Herbarium specimen from RBG Victoria,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe humboldtiana,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=13810&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe laevis,Rhodanthe,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Rhodanthe~laevis,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Lauren Goodwin,7/12/2020,
Rhodanthe manglesii,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=45316&size=3,Australian Plant Image Index (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,22/4/2021,
Rhodanthe maryonii,Rhodanthe,Asteraceae,https://florabase.dpaw.wa.gov.au/browse/profile/13238,Australian Plant Image Index (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,22/4/2021,
Rhodanthe microglossa,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29778&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe moschata,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=32015&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe pygmaea,Rhodanthe,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Rhodanthe~pygmaea,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Ruby Stephens,16/12/2020,
Rhodanthe spicata,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=29771&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe stricta,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=38471&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe tietkensii,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=44867&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe troedelii,Rhodanthe,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=17790&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Rhodanthe uniflora,Rhodanthe,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Rhodanthe~uniflora,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Ruby Stephens,18/12/2020,
Roebuckiella cheilocarpa,Roebuckiella,Asteraceae,https://www.jstor.org/stable/43575312,"Short, P.S. (1 December 2014), A taxonomic review of Brachyscome Cass. s.lat. (Asteraceae: Astereae), including description of a new genus, Roebuckia, new species and new infraspecific taxa. Journal of the Adelaide Botanic Gardens 28: 172-174",207. Symmetry of perianth (D1): (2) zygomorphic,"""Ray florets with large corolla, limb...Disc florets tubular"" Both actinomorphic and zygomorphic",interpreted from the text,genus,Ruby Stephens,22/4/2021,
Roebuckiella cheilocarpa,Roebuckiella,Asteraceae,https://www.jstor.org/stable/43575312,"Short, P.S. (1 December 2014), A taxonomic review of Brachyscome Cass. s.lat. (Asteraceae: Astereae), including description of a new genus, Roebuckia, new species and new infraspecific taxa. Journal of the Adelaide Botanic Gardens 28: 172-174",207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""Ray florets with large corolla, limb...Disc florets tubular"" Both actinomorphic and zygomorphic",interpreted from the text,genus,Ruby Stephens,22/4/2021,
Roebuckiella ciliocarpa,Roebuckiella,Asteraceae,https://www.jstor.org/stable/43575312,"Short, P.S. (1 December 2014), A taxonomic review of Brachyscome Cass. s.lat. (Asteraceae: Astereae), including description of a new genus, Roebuckia, new species and new infraspecific taxa. Journal of the Adelaide Botanic Gardens 28: 179",207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic,guessed from the illustration,species,Ruby Stephens,22/4/2021,
Roebuckiella ciliocarpa,Roebuckiella,Asteraceae,https://www.jstor.org/stable/43575312,"Short, P.S. (1 December 2014), A taxonomic review of Brachyscome Cass. s.lat. (Asteraceae: Astereae), including description of a new genus, Roebuckia, new species and new infraspecific taxa. Journal of the Adelaide Botanic Gardens 28: 179",207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic,guessed from the illustration,species,Ruby Stephens,22/4/2021,
Rutidosis helichrysoides,Rutidosis,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=48388&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,12/12/2020,
Schoenia ayersii,Schoenia,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=44735,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Sophia Amini,7/12/2020,
Schoenia cassiniana,Schoenia,Asteraceae,https://www.biodiversitylibrary.org/page/53279322,"Wilson, Paul G. (7 September 1992), The Lawrencella complex (Asteraceae: Gnaphalieae: Angianthinae) of Australia. Nuytsia 8(3)",207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""Florets actinomorphic"" though can have ray bracts",explicit from the text (described as such),genus,Ruby Stephens,17/12/2020,
Senecio anethifolius,Senecio,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=a&pn=10288&size=3,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Senecio cunninghamii,Senecio,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Senecio~cunninghamii,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Lauren Goodwin,7/12/2020,
Senecio dolichocephalus,Senecio,Asteraceae,https://vicflora.rbg.vic.gov.au/flora/taxon/402bff12-e7bf-4438-949f-2404974bb4b7,Flora of Victoria Online (VicFlora) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,interpreted from the text,species,Lauren Goodwin,7/12/2020,
Senecio extensus,Senecio,Asteraceae,https://profiles.ala.org.au/opus/foa/profile/Senecio%20extensus,Flora of Australia Online (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Only a single photo where the specimen is a squashed herbarium sample (RBG Victoria),guessed from the illustration,species,Ruby Stephens,15/12/2020,
Senecio glossanthus,Senecio,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=38385,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Senecio glossanthus,Senecio,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=38385,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Senecio gregorii,Senecio,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=43030,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Senecio gregorii,Senecio,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=43030,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Senecio lacustrinus,Senecio,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Senecio~lacustrinus,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (2) zygomorphic,Both actinomorphic and zygomorphic parts,interpreted from the text,species,Lauren Goodwin,7/12/2020,
Senecio lacustrinus,Senecio,Asteraceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Senecio~lacustrinus,Flora of NSW Online (PlantNET) (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,interpreted from the text,species,Lauren Goodwin,7/12/2020,
Senecio lanibracteus,Senecio,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=6646,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
Senecio magnificus,Senecio,Asteraceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=44623,Australian Plant Image Index (2020),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),Both actinomorphic and zygomorphic parts,guessed from the illustration,species,Lauren Goodwin,7/12/2020,
