og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,sym_RS_scored
Vochysia.thyrsoidea,Vochysiaceae,2,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Vochysia thyrsoidea,NA
Voyria.caerulea,Gentianaceae,5.8,0.695701085,2,Nouragues N R (French Guiana),4.083333333,-52.68333333,120,Lowland tropical rainforest,Hentrich et al. (2010). Taxon 59: 867-880.,NA,SC Fac Aut,1,NA,NA,NA,NA,marcoshighquality,5.8,Voyria caerulea,NA
Voyria.clavata,Gentianaceae,8.7,0.571547607,2,Nouragues N R (French Guiana),4.083333333,-52.68333333,120,Lowland tropical rainforest,Hentrich et al. (2010). Taxon 59: 867-880.,NA,NA,1,NA,NA,NA,NA,marcoshighquality,8.7,Voyria clavata,NA
Voyria.rosea,Gentianaceae,9.1,0.538516481,2,Nouragues N R (French Guiana),4.083333333,-52.68333333,120,Lowland tropical rainforest,Hentrich et al. (2010). Taxon 59: 867-880.,NA,SC Fac Aut,1,NA,NA,NA,NA,marcoshighquality,9.1,Voyria rosea,NA
Vriesea.platynema,Bromeliaceae,0.5,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SC Xen,1,"Maximum longevity given. Jun-Oct (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality,0.5,Vriesea platynema,NA
Vriesea.splendens,Bromeliaceae,0.416666667,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SC Mix,1,"Maximum longevity given. Apr-Jul (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality,0.416666667,Vriesea splendens,NA
Waltheria.indica,Malvaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Waltheria indica,NA
Whitania.aristata,Solanaceae,4,NA,0,"7 sites in Tenerife, Canary Islands (Spain)",NA,NA,NA,Lowland scrubland,Anderson et al. (2006). Amer. J. Bot. 93: 1295-1305.,NA,NA,1,All year. D species. Data are valid for females.,NA,NA,NA,marcoshighquality,4,Whitania aristata,NA
Witheringia.asterotricha,Solanaceae,2.94,NA,1,La Selva Biological Station (Costa Rica),NA,NA,NA,Gaps in tropical forest,Bohs (2000). Biotropica 32: 80-89.,NA,SI,1,All year.,NA,NA,NA,marcoshighquality,2.94,Witheringia asterotricha,NA
Witheringia.coccoloboides,Solanaceae,1.8,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.8,Witheringia coccoloboides,NA
Witheringia.meiantha,Solanaceae,2.42,NA,1,La Selva Biological Station (Costa Rica),NA,NA,NA,Gaps in tropical forest,Bohs (2000). Biotropica 32: 80-89.,NA,SI,Little,All year.,NA,NA,NA,marcoshighquality,2.42,Witheringia meiantha,NA
Wurmbea.dioica,Colchicaceae,18.6,0.5,2,"Lesmurdie, Western Australia (Australia)",-32.0075,116.0283333,150,Open scrub,Case & Barrett (2004). Int. J. Plant Sci. 165: 289-301.,NA,NA,1,Aug. T species. Data are valid for males.,20.9,1.3,NA,marcoshighquality marcoshighquality marcoshighquality,18.6,Wurmbea dioica,NA
Wurmbea.dioica,Colchicaceae,18.9,0.35,2,NA,-32.0075,116.0283333,150,Open scrub,Case & Barrett (2004). Int. J. Plant Sci. 165: 289-301.,NA,SC,1,Aug. T species. Data are valid for hermaphrodites.,15.3,0.8,NA,marcoshighquality marcoshighquality marcoshighquality,18.9,Wurmbea dioica,NA
Wurmbea.dioica,Colchicaceae,17,0.71,2,NA,-32.0075,116.0283333,150,Open scrub,Case & Barrett (2004). Int. J. Plant Sci. 165: 289-301.,NA,NA,1,Aug. T species. Data are valid for females.,12.7,0.8,NA,marcoshighquality marcoshighquality marcoshighquality,17,Wurmbea dioica,NA
Xerococcus.congestus(=Hoffmannia.congesta),Rubiaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Hoffmannia congesta,NA
Xerospermum.intermedium,Sapindaceae,3,NA,0,Pasoh FR (Malaysia),2.975,102.3083333,NA,Lowland tropical forest,Appanah (1982). Biol. J. Linn. Soc. 18: 11-34.,NA,SC,1,Ad species. Data are valid for hermaphrodites.,NA,NA,NA,marcoshighquality,3,Xerospermum intermedium,NA
Xylosma.quichensis,Salicaceae,6.2,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,6.2,Xylosma quichensis,NA
Zeyheria.montana,Bignoniaceae,7.1,0.156892908,2,"Serra do Cipó NP, Minas Gerais (Brazil)",-19.38333333,-43.5,NA,Campos rupestres to cerrado,Bittencourt & Semir (2004). Plant Syst. Evol. 247: 241-254.,NA,SI,1,Feb-Jul.,NA,NA,NA,marcoshighquality,7.1,Zeyheria montana,NA
Mimulus.ringens,Phrymaceae,0.5,NA,NA,NA,NA,NA,NA,NA,Jeffrey Karron (pers. comm.),NA,NA,NA,NA,NA,NA,NA,marcoshighquality,0.5,Mimulus ringens,NA
Befaria.glauca(=Bejaria.aestuans),Ericaceae,1 to 2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Jul.,NA,NA,NA,marcoslowquality marcoscommunity,1.5,Bejaria aestuans,NA
Bonnetia.sessilis,Bonnetiaceae,1 to 2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Mar; Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,1.5,Bonnetia sessilis,NA
Borreria.capitata(=Spermacoce.capitata),Rubiaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Mar; Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Spermacoce capitata,NA
Brocchinia.acuminata,Bromeliaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Jun-Jul.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Brocchinia acuminata,NA
Catasetum.discolor,Orchidaceae,2 to 3,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Jun-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2.5,Catasetum discolor,NA
Claytonia.virginica,Montiaceae,3,NA,0,"Brownfield Woods, Illinois (USA)",NA,NA,NA,Temperate forest,Schemske et al. (1978). Ecology 59: 351-366.,NA,SC,NA,Mar-Apr.,NA,NA,NA,marcoslowquality marcoscommunity,3,Claytonia virginica,NA
Clusia.grandiflora,Clusiaceae,1 to 2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,Resin,Jun-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,1.5,Clusia grandiflora,NA
Clusia.pusilla.ssp.pusilla,Clusiaceae,1 to 2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,Resin,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,1.5,Clusia pusilla ssp pusilla,NA
Cybianthus.quelchii,Primulaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Jun-Jul.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Cybianthus quelchii,NA
Cyrilla.racemiflora,Cyrillaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Cyrilla racemiflora,NA
Declieuxia.fruticosa.var.fruticosa,Rubiaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Declieuxia fruticosa var fruticosa,NA
Dentaria.laciniata(=Cardamine.concatenata),Brassicaceae,4,NA,0,"Brownfield Woods, Illinois (USA)",NA,NA,NA,Temperate forest,Schemske et al. (1978). Ecology 59: 351-366.,NA,SC,NA,Mar-Apr.,NA,NA,NA,marcoslowquality marcoscommunity,4,Cardamine concatenata,NA
Dicentra.canadensis,Papaveraceae,12,NA,0,"Brownfield Woods, Illinois (USA)",NA,NA,NA,Temperate forest,Schemske et al. (1978). Ecology 59: 351-366.,NA,SI,NA,Apr.,NA,NA,NA,marcoslowquality marcoscommunity,12,Dicentra canadensis,NA
Dicentra.cucullaria,Papaveraceae,11,NA,0,"Brownfield Woods, Illinois (USA)",NA,NA,NA,Temperate forest,Schemske et al. (1978). Ecology 59: 351-366.,NA,SI,NA,Apr.,NA,NA,NA,marcoslowquality marcoscommunity,11,Dicentra cucullaria,NA
Digomphia.laurifolia,Bignoniaceae,2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2,Digomphia laurifolia,NA
Echinolaena.inflexa,Poaceae,2 to 3,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Jul.,NA,NA,NA,marcoslowquality marcoscommunity,2.5,Echinolaena inflexa,NA
Epidendrum.ibaguense.ssp.ibaguense,Orchidaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Epidendrum ibaguense ssp ibaguense,NA
Epistephium.duckei,Orchidaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Epistephium duckei,NA
Eriopsis.biloba,Orchidaceae,2 to 3,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2.5,Eriopsis biloba,NA
Erythronium.albidum,Liliaceae,7 to 8,NA,0,"Brownfield Woods, Illinois (USA)",NA,NA,NA,Temperate forest,Schemske et al. (1978). Ecology 59: 351-366.,NA,SC,NA,Apr.,11 to 13,NA,NA,marcoslowquality marcoscommunity,7.5,Erythronium albidum,NA
Galactophora.schomburgkiana,Apocynaceae,2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2,Galactophora schomburgkiana,NA
Gongylolepis.benthamiana.var.pubescens,Asteraceae,1 to 2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Jul.,NA,NA,NA,marcoslowquality marcoscommunity,1.5,Gongylolepis benthamiana var pubescens,NA
Heliamphora.heterodoxa,Sarraceniaceae,2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2,Heliamphora heterodoxa,NA
Humiria.balsamifera,Humiriaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Jun-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Humiria balsamifera,NA
Ilex.retusa,Aquifoliaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Jun-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Ilex retusa,NA
Irlbachia.nemorosa,Gentianaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Irlbachia nemorosa,NA
Isopyrum.biternatum(=Enemion.biternatum),Ranunculaceae,7 to 10,NA,0,"Brownfield Woods, Illinois (USA)",NA,NA,NA,Temperate forest,Schemske et al. (1978). Ecology 59: 351-366.,NA,SC,NA,Mar-May.,NA,NA,NA,marcoslowquality marcoscommunity,8.5,Enemion biternatum,NA
Lagenocarpus.rigidus,Cyperaceae,3 to 5,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Jun-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,4,Lagenocarpus rigidus,NA
Macairea.pachyphylla,Melastomataceae,1 to 2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,1.5,Macairea pachyphylla,NA
Macairea.parviflora,Melastomataceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Mar.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Macairea parviflora,NA
Mandevilla.benthamii,Apocynaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Mandevilla benthamii,NA
Marcetia.taxofolia,Melastomataceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Marcetia taxofolia,NA
Meriania.sclerophylla,Melastomataceae,2 to 3,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2.5,Meriania sclerophylla,NA
Miconia.ciliata,Melastomataceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Mar.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Miconia ciliata,NA
Notopora.schomburgkii,Ericaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Notopora schomburgkii,NA
Pagameopsis.garryoides,Rubiaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Pagameopsis garryoides,NA
Panicum.nervosum,Poaceae,2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2,Panicum nervosum,NA
Paspalum.stellatum,Poaceae,2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2,Paspalum stellatum,NA
Passiflora.suberosa,Passifloraceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Passiflora suberosa,NA
Phthriusa.adunca(=Passovia.pedunculata),Loranthaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Passovia pedunculata,NA
Poecilandra.retusa,Ochnaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Poecilandra retusa,NA
Pogonia.stricta(=Cleistes.stricta),Orchidaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Jun-Jul.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Cleistes stricta,NA
Remijia.densiflora.ssp.stenopetala,Rubiaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Remijia densiflora ssp stenopetala,NA
Rhynchospora.exaltata,Cyperaceae,2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2,Rhynchospora exaltata,NA
Sanguinaria.canadensis,Papaveraceae,2,NA,0,"Brownfield Woods, Illinois (USA)",NA,NA,NA,Temperate forest,Schemske et al. (1978). Ecology 59: 351-366.,NA,SC Aut,NA,Mar-Apr.,NA,NA,NA,marcoslowquality marcoscommunity,2,Sanguinaria canadensis,NA
Sauvagesia.angustifolia,Ochnaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Sauvagesia angustifolia,NA
Sipanea.galioides,Rubiaceae,1 to 2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,1.5,Sipanea galioides,NA
Siphanthera.cordifolia,Melastomataceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Siphanthera cordifolia,NA
Sobralia.liliastrum,Orchidaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Sobralia liliastrum,NA
Stegolepis.angustata,Rapateaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Jul.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Stegolepis angustata,NA
Ternstroemia.crassifolia,Pentaphylacaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Ternstroemia crassifolia,NA
Tibouchina.fraterna,Melastomataceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Tibouchina fraterna,NA
Tococa.nitens,Melastomataceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Jul.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Tococa nitens,NA
Trachypogon.plumosus(=T.spicatus),Poaceae,2 to 3,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Mar; Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,2.5,Trachypogon spicatus,NA
Vaccinium.euryanthum,Ericaceae,1 to 2,NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,1.5,Vaccinium euryanthum,NA
Vaccinium.puberulum.var.subcrenatulum,Ericaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,1,Feb-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Vaccinium puberulum var subcrenatulum,NA
Vismia.lauriformis,Hypericaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Feb-Mar; Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Vismia lauriformis,NA
Xyris.setigera,Xyridaceae,1 (12 h),NA,0,PN Canaima (Venezuela),5.583333333,-61.71666667,1350,Tropical scrubland,Ramírez et al. (1990). Ann. MO Bot. Gard. 77: 383-397.,NA,NA,0,Sep-Oct.,NA,NA,NA,marcoslowquality marcoscommunity,0.5,Xyris setigera,NA
Achillea.ambrosiaca,Asteraceae,8.4,0.4,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,Jun.,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,8.4,Achillea ambrosiaca,NA
Ballota.acetabulosa,Lamiaceae,1.4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoscommunity,1.4,Ballota acetabulosa,NA
Capparis.ovata(=C.spinosa),Capparaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Capparis spinosa,NA
Cistus.salviifolius,Cistaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoscommunity,1,Cistus salviifolius,NA
Lamium.amplexicaule.ssp.amplexicaule,Lamiaceae,2.2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoscommunity,2.2,Lamium amplexicaule ssp amplexicaule,NA
Phlomis.fruticosa,Lamiaceae,3.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoscommunity,3.1,Phlomis fruticosa,NA
Prasium.majus,Lamiaceae,2.8,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoscommunity,2.8,Prasium majus,NA
Salvia.triloba(=S.fruticosa),Lamiaceae,2.6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoscommunity,2.6,Salvia fruticosa,NA
Salvia.verbenaca,Lamiaceae,2.3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoscommunity,2.3,Salvia verbenaca,NA
Satureja.thymbra,Lamiaceae,2.4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoscommunity,2.4,Satureja thymbra,NA
